id,nombre,pais_id,ano_fundacion
1,Banco de la Reserva de Australia,1,1960
2,Banco Central de Aruba,2,1986
3,Banco Central de Bolivia,3,1928
4,Banco Central de Brasil,4,1964
5,Banco de Canadá,5,1935
6,Banco Nacional Suizo,6,1907
7,Banco Central de Chile,7,1925
8,Banco Popular de China,8,1948
9,Banco de la República de Colombia,9,1923
10,Banco Nacional Checo,10,1993
11,Banco Nacional de Dinamarca,11,1818
12,Banco Central Europeo,12,1998
13,Banco de Inglaterra,13,1694
14,Autoridad Monetaria de Hong Kong,14,1993
15,Banco de Israel,15,1954
16,Banco de la Reserva de la India,16,1935
17,Banco de Japón,17,1882
18,Banco de México,18,1925
19,Banco Central de Nicaragua,19,1960
20,Banco Central de Noruega,20,1816
21,Banco de la Reserva de Nueva Zelanda,21,1934
22,Banco Central de Reserva del Perú,22,1922
23,Banco Central del Paraguay,23,1952
24,Banco Nacional de Serbia,24,1884
25,Banco Central de Rusia,25,1860
26,Banco de Suecia,26,1668
27,Autoridad Monetaria de Singapur,27,1971
28,Banco Central de la República de Turquía,28,1930
29,Reserva Federal de Estados Unidos,29,1913
30,Banco Central del Uruguay,30,1967
31,Banco Central de Venezuela,31,1939
32,Banco Estatal de Vietnam,32,1951
33,Banco de la Reserva de Sudáfrica,33,1921
