pais_id,moneda_id,es_principal,fecha_adopcion
1,1,true,1966-02-14
3,3,true,1987-01-01
6,6,true,1850-01-01
8,8,false,2000-01-01
8,9,true,1948-12-01
11,12,true,1873-05-27
12,13,true,1999-01-01
13,14,true,1694-07-27
14,15,true,1863-01-01
17,18,true,1871-05-10
20,21,true,1875-01-01
21,22,true,1967-07-10
26,28,true,1873-05-27
30,32,true,1993-03-01
31,33,false,2000-01-01
32,34,true,1978-05-03
2,2,true,2000-01-01
4,4,true,1994-07-01
5,5,true,1858-01-01
7,7,true,1975-09-29
9,10,true,1810-08-07
10,11,true,1993-02-08
15,16,true,1985-09-04
16,17,true,1947-08-15
18,19,true,1993-01-01
19,20,true,1991-04-30
22,23,true,1991-07-01
23,24,true,1943-10-05
24,26,true,2003-07-03
25,27,true,1998-01-01
27,29,true,1967-06-12
28,30,true,2005-01-01
29,31,true,1792-04-02
33,36,true,1961-02-14
